plate,id,source,last_digit,type,id,username,email,profilePicture,hourStay,cost,phoneNumber,createdAt
B3C5V7SA,6649a87e4817b6fcf,car,7,odd,6649ae85d0125561e,Unnecessarya,mafalda.baumbach@hotmail.com,https://picsum.photos/200,1,5000,1-320-682-2369 x0658,2024-05-19 07:47:00
B5P9V2NC,6649a87e4817b6fcf,car,2,even,6649ae85d0125561e,Paintedstriv,antoinette_oconnell@yahoo.com,https://picsum.photos/200,3,15000,609-371-0711 x417,2024-05-19 07:47:00
B9X4P1NF,6649a87e4817b6fcf,car,1,odd,6649ae85d0125561e,Elongatedfli,jazmin.hintz@hotmail.com,https://picsum.photos/200,10,50000,1-479-624-3676 x6362,2024-05-19 07:47:00
B3C5V7SA,6649a87e4817b6fcf,car,7,odd,6649ae86d0125561e,Milkyomen,karson.mccullough@hotmail.com,https://picsum.photos/200,3,15000,1-318-806-0229 x693,2024-05-19 07:47:00
B1H9V5RH,6649a87e4817b6fcf,car,5,odd,6649ae86d0125561e,Twentieth-ce,rashad.herman@gmail.com,https://picsum.photos/200,6,30000,703-974-5595 x75761,2024-05-19 07:47:00
B9R7T4PA,6649a87e4817b6fcf,car,4,even,6649ae86d0125561e,Declaredfing,moriah_bruen62@gmail.com,https://picsum.photos/200,9,45000,840-291-6495 x4666,2024-05-19 07:47:00
B4J2S7NA,6649a87e4817b6fcf,car,7,odd,6649ae86d0125561e,Municipalapp,maximus_daugherty@hotmail.com,https://picsum.photos/200,3,15000,821-801-7769 x5439,2024-05-19 07:47:00
B3S8Z2UD,6649a87e4817b6fcf,car,2,even,6649ae86d0125561e,Obnoxiouscap,peter43@hotmail.com,https://picsum.photos/200,7,35000,661.556.2015 x320,2024-05-19 07:47:00
B6R1T7NE,6649a87e4817b6fcf,car,7,odd,6649ae86d0125561e,Persistentlo,tyree_mante53@hotmail.com,https://picsum.photos/200,5,25000,1-351-801-4358,2024-05-19 07:47:00
B1M3U8RG,6649a87e4817b6fcf,car,8,even,6649ae87d0125561e,Prodigioussw,harrison82@gmail.com,https://picsum.photos/200,7,35000,484.402.5649 x06724,2024-05-19 07:47:00
